OBJECTID,COSEWICID,SCI_NAME,COM_NAME_E,COM_NAME_F,TAXON_E,TAXON_F,SAR_STAT_E,SAR_STAT_F,SCHEDULE_E,SCHEDULE_F,SOURCE_E,SOURCE_F,FCLASS,IMAGE_SRC,Reviewed_YN,Reviewer,ReviewDateDMY,Historical_YN,EC_SOI_YN,DataSource,MB_YN,Shape_STArea__,Shape_STLength__,Shape_Length,Shape_Area,COSEWICID_NAME
115,751,Antennaria flagellaris,Stoloniferous Pussytoes,Antennaire stolonifère,Vascular Plants,Plantes vasculaires,Endangered,En voie de disparition,Schedule 1,Annexe 1,Digitized,Numérisé,Antennaria_flagellaris,antefla.JPG,N,,,N,Y,SARR,,0.018767543,0.510651872,0.510651872,0.018767543,COSEWICID_751
116,752,Apodemia mormo,Mormon Metalmark (Southern Mountain population),Mormon (Population des montagnes du Sud),Arthropods,Arthropodes,Endangered,En voie de disparition,Schedule 1,Annexe 1,Digitized,Numérisé,Apodemia_mormo_bc,apodmor.JPG,N,,,N,Y,SARR,,0.073172455,1.428042819,1.428042819,0.073172455,COSEWICID_752
117,753,Apodemia mormo,Mormon Metalmark (Prairie population),Mormon (Population des Prairies),Arthropods,Arthropodes,Special Concern,Préoccupante,Schedule 1,Annexe 1,Digitized,Numérisé,Apodemia_mormo_sk,apodmor_sk.JPG,N,,,N,Y,SARR,,0.161375963,2.824592129,2.824592129,0.161375963,COSEWICID_753
118,759,Charina bottae,Northern Rubber Boa,Boa caoutchouc du Nord,Reptiles,Reptiles,Special Concern,Préoccupante,Schedule 1,Annexe 1,Digitized,Numérisé,Charina_bottae,charbot.JPG,N,,,N,Y,SARR,,6.292798534,33.04124089,33.04124089,6.292798534,COSEWICID_759
119,760,Collomia tenella,Slender Collomia,Collomia délicat,Vascular Plants,Plantes vasculaires,Endangered,En voie de disparition,Schedule 1,Annexe 1,Digitized,Numérisé,Collomia_tenella,collten.JPG,N,,,N,Y,SARR,,0.013815712,0.452093247,0.452093247,0.013815712,COSEWICID_760
120,765,Hemphillia dromedarius,Dromedary Jumping–slug,Limace–sauteuse dromadaire,Molluscs,Mollusques,Threatened,Menacée,Schedule 1,Annexe 1,Digitized,Numérisé,Hemphillia_dromedarius,hempdro.JPG,N,,,N,Y,SARR,,0.090575272,2.836960208,2.836960208,0.090575272,COSEWICID_765
121,766,Hemphillia glandulosa,Warty Jumping–slug,Limace–sauteuse glanduleuse,Molluscs,Mollusques,Special Concern,Préoccupante,Schedule 1,Annexe 1,Digitized,Numérisé,Hemphillia_glandulosa,hempgla.JPG,N,,,N,Y,SARR,,0.135689527,4.724509457,4.724509457,0.135689527,COSEWICID_766
122,767,Juncus kelloggii,Kellogg's Rush,Jonc de Kellogg,Vascular Plants,Plantes vasculaires,Endangered,En voie de disparition,Schedule 1,Annexe 1,Digitized,Numérisé,Juncus_kelloggii,junckel.JPG,N,,,N,Y,SARR,,0.007435786,0.317790621,0.317790621,0.007435786,COSEWICID_767
123,772,Polystichum lemmonii,Lemmon's Holly Fern,Polystic de Lemmon,Vascular Plants,Plantes vasculaires,Threatened,Menacée,Schedule 1,Annexe 1,Digitized,Numérisé,Polystichum_lemmonii,polylem.JPG,N,,,N,Y,SARR,,0.020482341,0.535472791,0.535472791,0.020482341,COSEWICID_772
124,773,Psilocarphus brevissimus,Dwarf Woolly-heads (Southern Mountain population),Psilocarphe nain (Population des montagnes du Sud),Vascular Plants,Plantes vasculaires,Endangered,En voie de disparition,Schedule 1,Annexe 1,Digitized,Numérisé,Psilocarphus_brevissimus_sm,psil_bre_2.JPG,N,,,N,Y,COSEWIC,,1.9915E-05,0.028850044,0.028850044,1.9915E-05,COSEWICID_773
