COSEWIC common name,COSEWIC population,cosewic_match,COSEWIC status,COSEWIC last assessment date,Scientific name,Legal common name,Legal population,Schedule status,Last status change,SARA schedule,Date added,Range,Taxonomic group,Under consideration for,GIC decision
Leatherback Sea Turtle,Pacific population,Leatherback Sea Turtle (Pacific population),Endangered,2022-12-03,Dermochelys coriacea,Leatherback Sea Turtle,Pacific population,Endangered,,Schedule 1,2003-06-05,"British Columbia, Pacific Ocean",Reptiles,,
Leiberg's Fleabane,,Leiberg's Fleabane,Data Deficient,2016-11-27,Erigeron leibergii,,,No Status,,No schedule,,British Columbia,Vascular Plants,,
Lemmon's Holly Fern,,Lemmon's Holly Fern,Threatened,2003-05-01,Polystichum lemmonii,Lemmon's Holly Fern,,Threatened,2005-01-12,Schedule 1,2005-01-12,British Columbia,Vascular Plants,,Added to list
Leopard Dace,,Leopard Dace,Not at Risk,1990-04-01,Rhinichthys falcatus,,,No Status,,No schedule,,British Columbia,Fishes (freshwater),,
Lesser Yellowlegs,,Lesser Yellowlegs,Threatened,2020-11-04,Tringa flavipes,Lesser Yellowlegs,,No Status,,No schedule,,"Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland and Labrador, Northwest Territories, Nova Scotia, Nunavut, Ontario, Prince Edward Island, Quebec, Saskatchewan, Yukon",Birds,Addition,Pending
Lewis's Woodpecker,,Lewis's Woodpecker,Threatened,2010-04-25,Melanerpes lewis,Lewis's Woodpecker,,Threatened,2012-06-20,Schedule 1,2003-06-05,British Columbia,Birds,,Uplisted: Special Concern to threatened
Lilliput,,Lilliput,Endangered,2013-05-03,Toxolasma parvum,Lilliput,,Endangered,2019-08-08,Schedule 1,2019-08-08,Ontario,Molluscs,,Added to list
Limber Pine,,Limber Pine,Endangered,2014-11-28,Pinus flexilis,Limber Pine,,No Status,,No schedule,,"Alberta, British Columbia",Vascular Plants,Addition,Pending
Lindley's False Silverpuffs,,Lindley's False Silverpuffs,Endangered,2008-04-25,Uropappus lindleyi,Lindley's False Silverpuffs,,Endangered,2010-02-23,Schedule 1,2010-02-23,British Columbia,Vascular Plants,,Added to list
Little Barley,,Little Barley,Data Deficient,1993-04-01,Hordeum pusillum,,,No Status,,No schedule,,Alberta,Vascular Plants,,
Little Brown Myotis,,Little Brown Myotis,Endangered,2013-11-01,Myotis lucifugus,Little Brown Myotis,,Endangered,2014-11-26,Schedule 1,2014-11-26,"Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland and Labrador, Northwest Territories, Nova Scotia, Ontario, Prince Edward Island, Quebec, Saskatchewan, Yukon",Mammals (terrestrial),,Added to list
Little Quarry Lake Benthic Threespine Stickleback,,Little Quarry Lake Benthic Threespine Stickleback,Threatened,2023-12-01,Gasterosteus aculeatus,Little Quarry Lake Benthic Threespine Stickleback,,No Status,,No schedule,,British Columbia,Fishes (freshwater),Addition,Pending
Little Quarry Lake Limnetic Threespine Stickleback,,Little Quarry Lake Limnetic Threespine Stickleback,Threatened,2023-12-01,Gasterosteus aculeatus,Little Quarry Lake Limnetic Threespine Stickleback,,No Status,,No schedule,,British Columbia,Fishes (freshwater),Addition,Pending
Loggerhead Sea Turtle,,Loggerhead Sea Turtle,Endangered,2010-04-25,Caretta caretta,Loggerhead Sea Turtle,,Endangered,2017-04-13,Schedule 1,2017-04-13,Atlantic Ocean,Reptiles,,Added to list
Loggerhead Shrike,,Loggerhead Shrike,Non-active,1991-04-01,Lanius ludovicianus,Loggerhead Shrike,,,,No schedule,,"Alberta, British Columbia, Manitoba, New Brunswick, Nova Scotia, Ontario, Quebec, Saskatchewan",Birds,,
Loggerhead Shrike Eastern subspecies,,Loggerhead Shrike Eastern subspecies,Endangered,2014-05-02,Lanius ludovicianus ssp.,Loggerhead Shrike Eastern subspecies,,Endangered,,Schedule 1,2003-06-05,"Ontario, Quebec",Birds,,
Loggerhead Shrike migrans subspecies,,Loggerhead Shrike migrans subspecies,Non-active,2014-05-02,Lanius ludovicianus migrans,Loggerhead Shrike migrans subspecies,,No Status,2015-01-13,No schedule,2003-06-05,"Manitoba, Ontario, Quebec",Birds,,Struck - WS reassignment
Loggerhead Shrike Prairie subspecies,,Loggerhead Shrike Prairie subspecies,Threatened,2014-05-02,Lanius ludovicianus excubitorides,Loggerhead Shrike Prairie subspecies,,Threatened,2005-07-14,Schedule 1,2005-07-14,"Alberta, Manitoba, Saskatchewan",Birds,,Added to list
Long's Braya,,Long's Braya,Endangered,2011-05-06,Braya longii,Long's Braya,,Endangered,2003-06-05,Schedule 1,2003-06-05,Newfoundland and Labrador,Vascular Plants,,Added to list
Long's Bulrush,,Long's Bulrush,Special Concern,2017-04-28,Scirpus longii,Long's Bulrush,,Special Concern,2021-08-12,Schedule 1,2021-08-12,Nova Scotia,Vascular Plants,,Added to list
