"OBJECTID","COSEWICID","SCI_NAME","COM_NAME_E","COM_NAME_F","TAXON_E","TAXON_F","SAR_STAT_E","SAR_STAT_F","SCHEDULE_E","SCHEDULE_F","SOURCE_E","SOURCE_F","FCLASS","IMAGE_SRC","Reviewed_YN","Reviewer","ReviewDateDMY","Historical_YN","EC_SOI_YN","DataSource","Shape_STArea__","Shape_STLength__","Shape_Length","Shape_Area"
"277","272","Acris blanchardi","Blanchard's Cricket Frog","Rainette grillon de Blanchard","Amphibians","Amphibiens","Endangered","En voie de disparition","Schedule 1","Annexe 1","Unknown","Inconnu","Acris_blanchardi","","N","","","N","Y","Environment Canada","0.0003397561829388","0.0663755832682865","0.0663755832682865","0.000339756184167268"
"278","273","Nerodia sipedon insularum","Lake Erie Watersnake","Couleuvre d'eau du lac Érié","Reptiles","Reptiles","Endangered","En voie de disparition","Schedule 1","Annexe 1","Digitized","Numérisé","Nerodia_sipedon_insularum","nero_sip.JPG","N","","","N","Y","COSEWIC","0.00150520393435727","0.144901261391601","0.144901261391601","0.00150520393428987"
"279","276","Emydoidea blandingii","Blanding's Turtle (Nova Scotia population)","Tortue mouchetée (Population de la Nouvelle-Écosse)","Reptiles","Reptiles","Endangered","En voie de disparition","Schedule 1","Annexe 1","Digitized","Numérisé","Emydoidea_blandingii_ns","emydbla_ns.JPG","N","","","N","Y","SARR","0.087363714999583","1.31507241773572","1.31507241773572","0.0873637149995493"
"280","277","Sistrurus catenatus","Massasauga","Massasauga","Reptiles","Reptiles","Threatened","Menacée","Schedule 1","Annexe 1","Digitized","Numérisé","Sistrurus_catenatus","sistcat.JPG","N","","","N","Y","SARR","1.56480616921613","11.2818766797435","11.2818766797434","1.56480616921292"
"281","278","Apalone spinifera","Spiny Softshell","Tortue molle à épines","Reptiles","Reptiles","Threatened","Menacée","Schedule 1","Annexe 1","Digitized","Numérisé","Apalone_spinifera","apalspi.JPG","N","","","N","Y","SARR","1.92948599275883","17.8858748867153","17.8858748867153","1.9294859927558"
"282","281","Anaxyrus fowleri","Fowler's Toad","Crapaud de Fowler","Amphibians","Amphibiens","Endangered","En voie de disparition","Schedule 1","Annexe 1","Unknown","Inconnu","Anaxyrus_fowleri","","N","","","N","Y","Environment Canada","0.0471350944615097","5.91353421206716","5.91353421206717","0.0471350944697519"
"283","284","Ambystoma texanum","Small–mouthed Salamander","Salamandre à petite bouche","Amphibians","Amphibiens","Endangered","En voie de disparition","Schedule 1","Annexe 1","Non-digitized","NatureServe","Ambystoma_texanum","","N","","","N","Y","NatureServe","0.00479172120549265","0.332809468556301","0.332809468556301","0.00479172120518505"
"284","285","Clemmys guttata","Spotted Turtle","Tortue ponctuée","Reptiles","Reptiles","Endangered","En voie de disparition","Schedule 1","Annexe 1","Digitized","Numérisé","Clemmys_guttata","clemgut.JPG","N","","","N","Y","SARR","7.09163447446258","29.626082772318","29.626082772318","7.09163447446211"
"285","286","Glyptemys insculpta","Wood Turtle","Tortue des bois","Reptiles","Reptiles","Threatened","Menacée","Schedule 1","Annexe 1","Digitized","Numérisé","Glyptemys_insculpta","glyp_ins.JPG","N","","","N","Y","COSEWIC","25.6433219789935","103.761694590478","103.761694590477","25.6433219790041"
"286","288","Trillium flexipes","Drooping Trillium","Trille à pédoncule incliné","Vascular Plants","Plantes vasculaires","Endangered","En voie de disparition","Schedule 1","Annexe 1","Unknown","Inconnu","Trillium_flexipes","","N","","","N","Y","Environment Canada","0.0172879036801987","0.670911926597084","0.670911926597084","0.0172879036774552"
"287","293","Lycaeides melissa samuelis","Karner Blue","Bleu mélissa","Arthropods","Arthropodes","Extirpated","Disparue du pays","Schedule 1","Annexe 1","Digitized","Numérisé","Lycaeides_melissa_samuelis","Lyca_meli_samu.JPG","N","","","N","Y","LAP_SAR_O2_20130328","0.0817606608445658","2.42510437446571","2.42510437446571","0.0817606608438428"
"288","301","Heterodon platirhinos","Eastern Hog–nosed Snake","Couleuvre à nez plat","Reptiles","Reptiles","Threatened","Menacée","Schedule 1","Annexe 1","Unknown","Inconnu","Heterodon_platirhinos","","N","","","N","Y","Environment Canada","6.20046774246794","26.105520447451","26.105520447451","6.20046774247007"
"289","304","Coenonympha nipisiquit","Maritime Ringlet","Satyre fauve des Maritimes","Arthropods","Arthropodes","Endangered","En voie de disparition","Schedule 1","Annexe 1","Unknown","Inconnu","Coenonympha_nipisiquit","","N","","","N","Y","Environment Canada","0.00833045282070088","0.720954995403084","0.720954995403083","0.00833045282167118"
"290","526","Microtus pinetorum","Woodland Vole","Campagnol sylvestre","Mammals","Mammifères","Special Concern","Préoccupante","Schedule 1","Annexe 1","Unknown","Inconnu","Microtus_pinetorum","","N","","","N","Y","Environment Canada","1.32917626511312","12.4021056580584","12.4021056580584","1.32917626511588"
"291","1160","Gyrinophilus porphyriticus","Spring Salamander (Adirondack / Appalachian population)","Salamandre pourpre (Population des Adirondacks et des Appalaches)","Amphibians","Amphibiens","No Status","Aucun statut","No schedule","Aucune annexe","Digitized","Numérisé","Gyrinophilus_porphyriticus","gyripor.JPG","N","","","N","Y","SARR","1.22960431176193","6.04615099504987","6.04615099504987","1.22960431176163"
"292","568","Solidago speciosa","Showy Goldenrod","Verge d'or voyante","Vascular Plants","Plantes vasculaires","Endangered","En voie de disparition","Schedule 1","Annexe 1","Unknown","Inconnu","Solidago_speciosa","","N","","","N","Y","Environment Canada","0.0246731553068003","0.668019865999166","0.668019865999166","0.0246731553073251"
"293","570","Symphyotrichum praealtum","Willowleaf Aster","Aster très élevé","Vascular Plants","Plantes vasculaires","Threatened","Menacée","Schedule 1","Annexe 1","Digitized","Numérisé","Symphyotrichum_praealtum","symppra.JPG","N","","","N","Y","SARR","0.0892054216776614","2.79992583467862","2.79992583467862","0.0892054216765523"
"294","571","Symphyotrichum prenanthoides","Crooked–stem Aster","Aster fausse–prenanthe","Vascular Plants","Plantes vasculaires","Special Concern","Préoccupante","Schedule 1","Annexe 1","Digitized","Numérisé","Symphyotrichum_prenanthoides","symppre.JPG","N","","","N","Y","SARR","0.165744960820803","3.4594048136626","3.4594048136626","0.165744960820489"
"295","575","Carex juniperorum","Juniper Sedge","Carex des genévriers","Vascular Plants","Plantes vasculaires","Endangered","En voie de disparition","Schedule 1","Annexe 1","Unknown","Inconnu","Carex_juniperorum","","N","","","N","Y","Environment Canada","0.0176614124641219","0.504895745845568","0.504895745845568","0.0176614124653081"
"296","584","Catharus bicknelli","Bicknell's Thrush","Grive de Bicknell","Birds","Oiseaux","Threatened","Menacée","Schedule 1","Annexe 1","Digitized","Numérisé","Catharus_bicknelli","Cath_bick.JPG","N","","","N","Y","LAP_SAR_O2_20130328","2.79133923154518","24.7771301821205","24.7771301821205","2.79133923154611"
"297","585","Regina septemvittata","Queensnake","Couleuvre royale","Reptiles","Reptiles","Endangered","En voie de disparition","Schedule 1","Annexe 1","Unknown","Inconnu","Regina_septemvittata","","N","","","N","Y","Environment Canada","0.780453267494295","11.4469126092697","11.4469126092697","0.780453267498911"
"298","588","Thamnophis butleri","Butler's Gartersnake","Couleuvre à petite tête","Reptiles","Reptiles","Endangered","En voie de disparition","Schedule 1","Annexe 1","Unknown","Inconnu","Thamnophis_butleri","","N","","","N","Y","Environment Canada","0.408516525530331","6.86341661084326","6.86341661084326","0.408516525532537"
"299","590","Callophrys irus","Frosted Elfin","Lutin givré","Arthropods","Arthropodes","Extirpated","Disparue du pays","Schedule 1","Annexe 1","Digitized","Numérisé","Callophrys_irus","Call_irus.JPG","N","","","N","Y","LAP_SAR_O2_20130328","0.293371192798759","2.84814938574749","2.84814938574749","0.293371192799006"
"300","611","Tyto alba","Barn Owl (Eastern population)","Effraie des clochers (Population de l'Est)","Birds","Oiseaux","Endangered","En voie de disparition","Schedule 1","Annexe 1","Unknown","Inconnu","Tyto_alba_east","","N","","","N","Y","Environment Canada","1.55561631021669","14.1821794243478","14.1821794243478","1.55561631021904"
